,Price,Address,Town,Beds,Baths
0,"$725,000",,,,
1,,0 Gateway,,,
2,,,"Rock Springs, WY 82901",,
3,,,,None,
4,,,,,None
5,"$452,900",,,,
6,,1003 Winchester Blvd.,,,
7,,,"Rock Springs, WY 82901",,
8,,,,4 Beds,
9,,,,,4 Full Baths
10,"$396,900",,,,
11,,600 Talladega,,,
12,,,"Rock Springs, WY 82901",,
13,,,,5 Beds,
14,,,,,3 Full Baths
15,"$389,900",,,,
16,,3239 Spearhead Way,,,
17,,,"Rock Springs, WY 82901",,
18,,,,4 Beds,
19,,,,,3 Full Baths
20,"$254,000",,,,
21,,522 Emerald Street,,,
22,,,"Rock Springs, WY 82901",,
23,,,,3 Beds,
24,,,,,3 Full Baths
25,"$252,900",,,,
26,,1302 Veteran's Drive,,,
27,,,"Rock Springs, WY 82901",,
28,,,,4 Beds,
29,,,,,2 Full Baths
30,"$210,000",,,,
31,,1021 Cypress Cir,,,
32,,,"Rock Springs, WY 82901",,
33,,,,4 Beds,
34,,,,,3 Full Baths
35,"$209,000",,,,
36,,913 Madison Dr,,,
37,,,"Rock Springs, WY 82901",,
38,,,,3 Beds,
39,,,,,2 Full Baths
40,"$199,900",,,,
41,,1344 Teton Street,,,
42,,,"Rock Springs, WY 82901",,
43,,,,3 Beds,
44,,,,,2 Full Baths
45,"$196,900",,,,
46,,4 Minnies Lane,,,
47,,,"Rock Springs, WY 82901",,
48,,,,3 Beds,
49,,,,,2 Full Baths
